CSW_Discovery,CSWCoreQueryables|CSWCoreReturnables|CSWAdditionalQueryables,Keyword|CSWCoreQueryables,Resource Title|CSWCoreQueryables,Abstract|CSWCoreQueryables,Resource Format|CSWCoreQueryables,Metadata Identifier|CSWCoreQueryables,Metadata Modified Date|CSWCoreQueryables,Resource Type|CSWCoreQueryables,Bounding Box|CSWCoreQueryables,Coordinate Reference System (CRS)|CSWCoreQueryables,Association|CSWCoreQueryables,Resource Title|CSWCoreReturnables,Author / Originator|CSWCoreReturnables,Keyword|CSWCoreReturnables,Abstract|CSWCoreReturnables,Publisher|CSWCoreReturnables,Contributor Name|CSWCoreReturnables,Metadata Modified Date|CSWCoreReturnables,Resource Type|CSWCoreReturnables,Resource Format|CSWCoreReturnables,Metadata Identifier|CSWCoreReturnables,Source Citation|CSWCoreReturnables,Metadata Language|CSWCoreReturnables,Related Resource Citation|CSWCoreReturnables,Bounding Box|CSWCoreReturnables,Rights|CSWCoreReturnables,Resource Revision Date|CSWAdditionalQueryables,Resource Creation/Revision Date|CSWAdditionalQueryables,Publication Date|CSWAdditionalQueryables,Organization Name|CSWAdditionalQueryables,Security Constraints|CSWAdditionalQueryables,Metadata Language|CSWAdditionalQueryables,Resource Identifier|CSWAdditionalQueryables,Parent Identifier|CSWAdditionalQueryables,Keyword Type|CSWAdditionalQueryables,,,,,,,,,,,,,,,,
ISO-1_Discovery,ISO-1_Discovery-Mandatory|ISO-1_Discovery-Conditional|ISO-1_Discovery-Optional,Resource Title|ISO-1_Discovery-Mandatory,Abstract|ISO-1_Discovery-Mandatory,Metadata Modified Date|ISO-1_Discovery-Mandatory,Metadata Contact|ISO-1_Discovery-Mandatory,Bounding Box|ISO-1_Discovery-Mandatory,Topic Category|ISO-1_Discovery-Mandatory,Resource Language|ISO-1_Discovery-Conditional,Resource Type|ISO-1_Discovery-Conditional,Metadata Identifier|ISO-1_Discovery-Optional,Resource Creation/Revision Date|ISO-1_Discovery-Optional,Resource Identifier|ISO-1_Discovery-Optional,Resource Contact|ISO-1_Discovery-Optional,Spatial Resolution|ISO-1_Discovery-Optional,Temporal Extent|ISO-1_Discovery-Optional,Vertical Extent|ISO-1_Discovery-Optional,Resource Lineage|ISO-1_Discovery-Optional,Resource on-line Link|ISO-1_Discovery-Optional,Keyword|ISO-1_Discovery-Optional,Metadata Use Constraints|ISO-1_Discovery-Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIF_Discovery,DIF_Discovery-Required|DIF_Discovery-HighlyRecommended,Metadata Identifier|DIF_Discovery-Required,Resource Title|DIF_Discovery-Required,Keyword|DIF_Discovery-Required,Topic Category|DIF_Discovery-Required,Distribution Contact|DIF_Discovery-Required,Abstract|DIF_Discovery-Required,Metadata Standard Citation|DIF_Discovery-Required,Metadata Standard Version|DIF_Discovery-Required,Complete Citation|DIF_Discovery-HighlyRecommended,Resource Contact|DIF_Discovery-HighlyRecommended,Online Resource|DIF_Discovery-HighlyRecommended,Instrument|DIF_Discovery-HighlyRecommended,Platform|DIF_Discovery-HighlyRecommended,Temporal Extent|DIF_Discovery-HighlyRecommended,Paleo Temporal Coverage|DIF_Discovery-HighlyRecommended,Bounding Box|DIF_Discovery-HighlyRecommended,Place Keyword|DIF_Discovery-HighlyRecommended,Spatial Resolution|DIF_Discovery-HighlyRecommended,Temporal Resolution|DIF_Discovery-HighlyRecommended,Resource Title|DIF_Discovery-HighlyRecommended,Quality Statement|DIF_Discovery-HighlyRecommended,Resource Access Constraints|DIF_Discovery-HighlyRecommended,Resource Use Constraints|DIF_Discovery-HighlyRecommended,Media|DIF_Discovery-HighlyRecommended,Transfer Size|DIF_Discovery-HighlyRecommended,Resource Format|DIF_Discovery-HighlyRecommended,Resource Language|DIF_Discovery-HighlyRecommended,Resource Status|DIF_Discovery-HighlyRecommended,,,,,,,,,,,,,,,,,,,,,,
FGDC_Discovery,FGDC_Mandatory,Resource Title|FGDC_Mandatory,Originating Organization|FGDC_Mandatory,Publication Date|FGDC_Mandatory,Abstract|FGDC_Mandatory,Purpose|FGDC_Mandatory,Resource Status|FGDC_Mandatory,Resource Update Frequency|FGDC_Mandatory,Temporal Extent|FGDC_Mandatory,Bounding Box|FGDC_Mandatory,Resource Access Constraints|FGDC_Mandatory,Resource Use Constraints|FGDC_Mandatory,Keyword|FGDC_Mandatory,Distribution Liability|FGDC_Mandatory,Distribution Contact|FGDC_Mandatory,Metadata Contact|FGDC_Mandatory,Metadata Standard Citation|FGDC_Mandatory,Metadata Standard Version|FGDC_Mandatory,Ordering Instructions|FGDC_Mandatory,Resource Cost or Fees|FGDC_Mandatory,Turnaround|FGDC_Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCAT_Discovery,DCAT_Discovery-Mandatory,Resource Title|DCAT_Discovery-Mandatory,Abstract|DCAT_Discovery-Mandatory,Keyword|DCAT_Discovery-Mandatory,Resource Creation/Revision Date|DCAT_Discovery-Mandatory,Publisher|DCAT_Discovery-Mandatory,Resource Contact|DCAT_Discovery-Mandatory,Metadata Identifier|DCAT_Discovery-Mandatory,Resource Access Constraints|DCAT_Discovery-Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECS_Discovery,ECS_Discovery-Recommended,Abstract|ECS_Discovery-Recommended,Resource Long Name|ECS_Discovery-Recommended,Resource Title|ECS_Discovery-Recommended,Resource Version|ECS_Discovery-Recommended,Distribution Contact|ECS_Discovery-Recommended,Processor|ECS_Discovery-Recommended,Metadata Modified Date|ECS_Discovery-Recommended,Version Description|ECS_Discovery-Recommended,Organization Name|ECS_Discovery-Recommended,Email|ECS_Discovery-Recommended,Role|ECS_Discovery-Recommended,Phone|ECS_Discovery-Recommended,Phone Type|ECS_Discovery-Recommended,Theme Keyword|ECS_Discovery-Recommended,Platform Long Name|ECS_Discovery-Recommended,Platform Short Name|ECS_Discovery-Recommended,Platform Type|ECS_Discovery-Recommended,Instrument Long Name|ECS_Discovery-Recommended,Instrument Short Name|ECS_Discovery-Recommended,Sensor Long Name|ECS_Discovery-Recommended,Sensor Short Name|ECS_Discovery-Recommended,Easternmost Longitude|ECS_Discovery-Recommended,Northernmost Latitude|ECS_Discovery-Recommended,Southernmost Latitude|ECS_Discovery-Recommended,Westernmost Longitude|ECS_Discovery-Recommended,Center Latitude|ECS_Discovery-Recommended,Center Longitude|ECS_Discovery-Recommended,Radius Units|ECS_Discovery-Recommended,Exclusion GRing Flag|ECS_Discovery-Recommended,GRing Point Latitude|ECS_Discovery-Recommended,GRing Point Longitude|ECS_Discovery-Recommended,GRing Point Sequence Number|ECS_Discovery-Recommended,Point Latitude|ECS_Discovery-Recommended,Point Longitude|ECS_Discovery-Recommended,Ends at Present Flag|ECS_Discovery-Recommended,Date Type|ECS_Discovery-Recommended,Precision of Seconds|ECS_Discovery-Recommended,Temporal Range Type|ECS_Discovery-Recommended,Time Type|ECS_Discovery-Recommended,,,,,,,,,,,
ECHO_Discovery,ECHO_Discovery-Mandatory|ECHO_Discovery-Recommended,Resource Title|ECHO_Discovery-Mandatory,Resource Version|ECHO_Discovery-Mandatory,Publication Date|ECHO_Discovery-Mandatory,Metadata Modified Date|ECHO_Discovery-Mandatory,Resource Long Name|ECHO_Discovery-Mandatory,Resource Identifier|ECHO_Discovery-Mandatory,Abstract|ECHO_Discovery-Mandatory,Ordering Instructions|ECHO_Discovery-Mandatory,Resource Access Constraints|ECHO_Discovery-Mandatory,Processing Level|ECHO_Discovery-Recommended,Resource Cost or Fees|ECHO_Discovery-Recommended,Place Keyword|ECHO_Discovery-Recommended,Temporal Keyword|ECHO_Discovery-Recommended,Temporal Extent|ECHO_Discovery-Recommended,Resource Contact|ECHO_Discovery-Recommended,Keyword|ECHO_Discovery-Recommended,Platform Keyword|ECHO_Discovery-Recommended,Instrument Type|ECHO_Discovery-Recommended,Sensor Characteristics|ECHO_Discovery-Recommended,Related Resource Identifier|ECHO_Discovery-Recommended,TwoDCoordinateSystem|ECHO_Discovery-Recommended,Resource on-line Link|ECHO_Discovery-Recommended,AssociatedDIFs|ECHO_Discovery-Recommended,Spatial Extent|ECHO_Discovery-Recommended,Distribution Contact|ECHO_Discovery-Recommended,Additional Attributes|ECHO_Discovery-Recommended,Browse File Name|ECHO_Discovery-Recommended,,,,,,,,,,,,,,,,,,,,,,,
ISO-1_Access,ISO_ServiceDiscovery-Mandatory|ISO_ServiceDiscovery-Conditional|ISO_ServiceDiscovery-Optional,Resource Title|ISO_ServiceDiscovery-Mandatory,Bounding Box|ISO_ServiceDiscovery-Mandatory,Abstract|ISO_ServiceDiscovery-Mandatory,Resource Creation Date|ISO_ServiceDiscovery-Mandatory,Metadata Contact|ISO_ServiceDiscovery-Mandatory,Resource Type|ISO_ServiceDiscovery-Mandatory,Coupled Resource|ISO_ServiceDiscovery-Conditional,Coupled Type|ISO_ServiceDiscovery-Conditional,Metadata Identifier|ISO_ServiceDiscovery-Optional,Resource Creation/Revision Date|ISO_ServiceDiscovery-Optional,Resource Identifier|ISO_ServiceDiscovery-Optional,Resource Contact|ISO_ServiceDiscovery-Optional,Topic Category|ISO_ServiceDiscovery-Optional,Service Location|ISO_ServiceDiscovery-Optional,Theme Keyword|ISO_ServiceDiscovery-Optional,Resource Use Constraints|ISO_ServiceDiscovery-Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERF_Access,SERF_Required|SERF_HighlyRecommended,Metadata Identifier|SERF_Required,Resource Title|SERF_Required,Keyword|SERF_Required,Distribution Contact|SERF_Required,Abstract|SERF_Required,Purpose|SERF_Required,Resource Citation|SERF_HighlyRecommended,Resource Contact|SERF_HighlyRecommended,Resource Title|SERF_HighlyRecommended,Media|SERF_HighlyRecommended,Resource Cost or Fees|SERF_HighlyRecommended,Resource Format|SERF_HighlyRecommended,Instrument Keyword|SERF_HighlyRecommended,Platform Keyword|SERF_HighlyRecommended,Project Keyword|SERF_HighlyRecommended,Resource Quality Description|SERF_HighlyRecommended,Resource Access Constraints|SERF_HighlyRecommended,Resource Use Constraints|SERF_HighlyRecommended,Distribution Contact|SERF_HighlyRecommended,Service Location|SERF_HighlyRecommended,Resource Language|SERF_HighlyRecommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_Lineage_Understanding,ISO_Lineage,Lineage Statement|ISO_Lineage,Lineage Scope|ISO_Lineage,Process Step|ISO_Lineage,Process Step Description|ISO_Lineage,Process Step Purpose|ISO_Lineage,Process Step Time|ISO_Lineage,Processor|ISO_Lineage,Process Step Reference|ISO_Lineage,Process Step Scope|ISO_Lineage,Source|ISO_Lineage,Source Description|ISO_Lineage,Source Reference System|ISO_Lineage,Source Citation|ISO_Lineage,Source Metadata|ISO_Lineage,Source Scope|ISO_Lineage,Source Step|ISO_Lineage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
