Collection,FileName,Xpath,Values
ECL,100004.xml,/resource/@xsi:schemaLocation,http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd
ECL,100004.xml,/resource/identifier,10.1594/IEDA/100004
ECL,100004.xml,/resource/identifier/@identifierType,DOI
ECL,100004.xml,/resource/creators/creator/creatorName,Shaw, Alison
ECL,100004.xml,/resource/titles/title,Gakkel Ridge basalt melt inclusion and mineral chemistry
ECL,100004.xml,/resource/publisher,Integrated Earth Data Applications (IEDA)
ECL,100004.xml,/resource/publicationYear,2011
ECL,100004.xml,/resource/subjects/subject,Geochemistry
ECL,100004.xml,/resource/subjects/subject/@subjectScheme,ECL
ECL,100004.xml,/resource/dates/date,2011-03-25
ECL,100004.xml,/resource/dates/date/@dateType,Available
ECL,100004.xml,/resource/language,en
ECL,100004.xml,/resource/resourceType/@resourceTypeGeneral,Dataset
ECL,100004.xml,/resource/alternateIdentifiers/alternateIdentifier,http://www.earthchem.org/library/browse/view?id=124
ECL,100004.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,URL
ECL,100004.xml,/resource/formats/format,application/vnd.ms-excel
ECL,100004.xml,/resource/version,1.0
ECL,100004.xml,/resource/contributors/contributor/@contributorType,Editor
ECL,100004.xml,/resource/contributors/contributor/contributorName,EarthChem Library (ECL)
ECL,100004.xml,/resource/contributors/contributor/nameIdentifier,10.17616/R3V644
ECL,100004.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,DOI
ECL,100004.xml,/resource/rightsList/rights,Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]
ECL,100004.xml,/resource/rightsList/rights/@rightsURI,https://creativecommons.org/licenses/by/3.0/us/
ECL,100004.xml,/resource/relatedIdentifiers/relatedIdentifier,10.1016/j.epsl.2009.11.018
ECL,100004.xml,/resource/relatedIdentifiers/relatedIdentifier/@relatedIdentifierType,DOI
ECL,100004.xml,/resource/relatedIdentifiers/relatedIdentifier/@relationType,IsReferencedBy
ECL,100004.xml,/resource/descriptions/description,Analyses of volatile, major, and trace elements for a suite of glasses and melt inclusions from the 85 degrees E segment of the ultra-slow spreading Gakkel Ridge.
ECL,100004.xml,/resource/descriptions/description/@descriptionType,Abstract
ECL,100004.xml,/resource/descriptions/description,volatiles, ultra-slow spreading ridges mantle, melting, CO2 fluxes, Ridge related
