Concept,ISO
Distribution Contact,/*/gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty
Distribution Format,/*/gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorFormat/gmd:MD_Format/gmd:name/gco:CharacterString /*/gmd:distributionInfo/gmd:MD_Distribution/gmd:distributionFormat/gmd:MD_Format/gmd:name/gco:CharacterString
Distribution Liability,0
Easternmost Longitude,/*/gmd:identificationInfo/*/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_GeographicBoundingBox/gmd:eastBoundLongitude/gco:Decimal
Editor,//gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty[normalize-space(gmd:role/gmd:CI_RoleCode)='editor']/gmd:organisationName/gco:CharacterString
Email,//gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gco:CharacterString
Embargo Date,0
End Time,/*/gmd:identificationInfo/*/gmd:extent/gmd:EX_Extent/gmd:temporalElement/gmd:EX_TemporalExtent/gmd:extent/gml:TimePeriod/gml:endPosition
Ends at Present Flag,0
Entity Type Definition,0
Entity Type Definition Source,0
Entity Type Label,0
Entity and Attribute Information,0
Enumerated Domain Value,/*/gmd:contentInfo/gmi:MI_CoverageDescription/gmi:rangeElementDescription/gmi:MI_RangeElementDescription/gmi:rangeElement/gco:Record/gco:CharacterString /*/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword/gco:CharacterString
Enumerated Domain Value Definition,/gmi:MI_Metadata/gmd:contentInfo/gmi:MI_CoverageDescription/gmi:rangeElementDescription/gmi:MI_RangeElementDescription/gmi:definition/gco:CharacterString
Enumerated Domain Value Definition Source,/gmi:MI_Metadata/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:thesaurusName/gmd:CI_Citation/gmd:title/gco:CharacterString
Evaluation Method Description,/*/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:report/gmd:DQ_QuantitativeAttributeAccuracy/gmd:evaluationMethod/gmd:DQ_FullInspection/gmd:evaluationMethodDescription/gco:CharacterString
Evaluation Procedure,/*/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:report/gmd:DQ_QuantitativeAttributeAccuracy/gmd:evaluationProcedure/gmd:CI_Citation
Evaluation Reference,0
Evaluation Reference Document,0
Evaluation Specification,0
Evalulation Method,0
Evalulation Method Type,/*/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:report/gmd:DQ_QuantitativeAttributeAccuracy/gmd:evaluationMethodType/gmd:DQ_EvaluationMethodTypeCode
Exclusion GRing Flag,0
Fax,//gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/gmd:CI_Telephone/gmd:facsimile/gco:CharacterString
Feature Catalogue Citation,/*/gmd:contentInfo/gmd:MD_FeatureCatalogueDescription/gmd:featureCatalogueCitation/gmd:CI_Citation
First Name,//gmd:CI_ResponsibleParty/gmd:individualName/gco:CharacterString
Format Citation,0
Format of the Online Resource,//gmd:CI_OnlineResource/gmd:applicationProfile/gco:CharacterString
GRing Point Latitude,0
GRing Point Longitude,0
GRing Point Sequence Number,0
Geographic Description,/*/gmd:identificationInfo/*/gmd:extent/gmd:EX_Extent/gmd:description/gco:CharacterString
Homogeneity,0
Horizontal Positional Accuracy Explanation,0
Horizontal Positional Accuracy Report,0
Horizontal Positional Accuracy Value,0
Host Project Identifier,0
Hours of Service,//gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:hoursOfService/gco:CharacterString
ISBN,//gmd:CI_Citation/gmd:ISBN
ISSN,//gmd:CI_Citation/gmd:ISSN
Identified Issues Citation,0
Input Granule,//gmd:source/*/gmd:sourceCitation/gmd:CI_Citation/gmd:title/gmx:FileName/@src
Instrument,/gmi:MI_Metadata/gmi:acquisitionInformation/gmi:MI_AcquisitionInformation/gmi:instrument/* /gmi:MI_Metadata/gmi:acquisitionInformation/gmi:MI_AcquisitionInformation/gmi:platform/*/gmi:instrument/*
Instrument Characteristics,/gmi:MI_Metadata/gmi:acquisitionInformation/gmi:MI_AcquisitionInformation/gmi:instrument/eos:EOS_Instrument/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute
Instrument Characteristics Data Type,/gmi:MI_Metadata/gmi:acquisitionInformation/gmi:MI_AcquisitionInformation/gmi:Instrument/eos:EOS_Instrument/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription[eos:type/eos:EOS_AdditionalAttributeTypeCode='instrumentInformation']/eos:dataType
Instrument Characteristics Description,/gmi:MI_Metadata/gmi:acquisitionInformation/gmi:MI_AcquisitionInformation/gmi:instrument/eos:EOS_Instrument/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription[eos:type/eos:EOS_AdditionalAttributeTypeCode='instrumentInformation']/eos:description/gco:CharacterString
Instrument Characteristics Name,//gmi:instrument/*/eos:otherProperty/gco:Record/eos:EOS_AdditionalAttributes/eos:additionalAttribute/eos:EOS_AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription[eos:type/eos:EOS_AdditionalAttributeTypeCode='instrumentInformation']/eos:name/gco:CharacterString //gmi:instrument/*/gmd:otherProperty/gco:Record/eos:EOS_AdditionalAttributes/eos:additionalAttribute/eos:EOS_AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription[eos:type/eos:EOS_AdditionalAttributeTypeCode='instrumentInformation']/eos:name/gco:CharacterString //gmi:platform/eos:EOS_Platform/gmi:instrument/eos:EOS_Instrument/eos:otherProperty/gco:Record/eos:EOS_AdditionalAttributes/eos:additionalAttribute/eos:EOS_AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription[eos:type/eos:EOS_AdditionalAttributeTypeCode='instrumentInformation']/eos:name/gco:CharacterString
Instrument Characteristics Unit,/gmi:MI_Metadata/gmi:acquisitionInformation/gmi:MI_AcquisitionInformation/gmi:instrument/eos:EOS_Instrument/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription[eos:type/eos:EOS_AdditionalAttributeTypeCode='instrumentInformation']/eos:unit/gco:CharacterString
Instrument Characteristics Value,//gmi:instrument/*/eos:otherProperty/gco:Record/eos:EOS_AdditionalAttributes/eos:additionalAttribute/eos:EOS_AdditionalAttribute[eos:reference/eos:EOS_AdditionalAttributeDescription/eos:type/eos:EOS_AdditionalAttributeTypeCode='instrumentInformation']/eos:value/gco:CharacterString //gmi:instrument/*/gmd:otherProperty/gco:Record/eos:EOS_AdditionalAttributes/eos:additionalAttribute/eos:EOS_AdditionalAttribute[eos:reference/eos:EOS_AdditionalAttributeDescription/eos:type/eos:EOS_AdditionalAttributeTypeCode='instrumentInformation']/eos:value/gco:CharacterString //gmi:platform/eos:EOS_Platform/gmi:instrument/eos:EOS_Instrument/eos:otherProperty/gco:Record/eos:EOS_AdditionalAttributes/eos:additionalAttribute/eos:EOS_AdditionalAttribute[eos:reference/eos:EOS_AdditionalAttributeDescription/eos:type/eos:EOS_AdditionalAttributeTypeCode='instrumentInformation']/eos:value/gco:CharacterString
Instrument Citation,/gmi:MI_Metadata/gmi:acquisitionInformation/gmi:MI_AcquisitionInformation/gmi:Instrument/*/gmi:citation/gmi:CI_Citation
Instrument Description,/gmi:MI_Metadata/gmi:acquisitionInformation/gmi:MI_AcquisitionInformation/gmi:Instrument/*/gmi:description/gco:CharacterString
Instrument Keyword,/*/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords[normalize-space(gmd:type/gmd:MD_KeywordTypeCode)='instrument']/gmd:keyword/gco:CharacterString
Instrument Keyword Vocabulary,/*/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords[normalize-space(gmd:type/gmd:MD_KeywordTypeCode)='instrument']/gmd:thesaurusName/gmd:CI_Citation/gmd:title/gco:CharacterString
Instrument Long Name,/gmi:MI_Metadata/gmi:acquisitionInformation/gmi:MI_AcquisitionInformation/gmi:Instrument/*/gmi:description/gco:CharacterString
Instrument Operation Modes,//gmi:instrument/*/eos:otherProperty/gco:Record/eos:EOS_AdditionalAttributes/eos:additionalAttribute/eos:EOS_AdditionalAttribute[eos:reference/eos:EOS_AdditionalAttributeDescription/eos:name/gco:CharacterString='OperationMode']/eos:value/gco:CharacterString //gmi:instrument/*/gmd:otherProperty/gco:Record/eos:EOS_AdditionalAttributes/eos:additionalAttribute/eos:EOS_AdditionalAttribute[eos:reference/eos:EOS_AdditionalAttributeDescription/eos:name/gco:CharacterString='OperationMode']/eos:value/gco:CharacterString
Instrument Short Name,//gmi:instrument/*/gmi:identifier/gmd:MD_Identifier/gmd:code/gco:CharacterString
Instrument Type,/gmi:MI_Metadata/gmi:acquisitionInformation/gmi:MI_AcquisitionInformation/gmi:instrument/*/gmi:type/gco:CharacterString
Instrument UUID,//gmi:instrument/eos:EOS_Instrument/@uuid //gmi:instrument/gmi:MI_Instrument/@uuid
Interface,0
Issue,//gmd:CI_Citation/gmd:series/gmd:CI_Series/gmd:issueIdentification/gco:CharacterString
Issue Date,/*/gmd:identificationInfo/*/gmd:citation/gmd:CI_Citation/gmd:date/gmd:CI_Date[normalize-space(gco:dateType/gco:CI_DateTypeCode)='publication']/gmd:date/gco:Date
Keyword,/*/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword /*/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords[normalize-space(gmd:type/gmd:MD_KeywordTypeCode)='place']/gmd:keyword/gco:CharacterString /*/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords[normalize-space(gmd:type/gmd:MD_KeywordTypeCode)='instrument']/gmd:keyword/gco:CharacterString /*/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords[normalize-space(gmd:type/gmd:MD_KeywordTypeCode)='platform']/gmd:keyword/gco:CharacterString /*/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords[normalize-space(gmd:type/gmd:MD_KeywordTypeCode)='project']/gmd:keyword/gco:CharacterString
Keyword Ontology Citation,0
Keyword Type,/*/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode
Keyword Vocabulary,/*/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:thesaurusName
Keyword Vocabulary Citation,/*/gmd:identificationInfo/*/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:thesaurusName/gmd:CI_Citation /*/gmd:identificationInfo/srv:SV_ServiceIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:thesaurusName/gmd:CI_Citation
Last Name,//gmd:CI_ResponsibleParty/gmd:individualName/gco:CharacterString
Latitude Dimension Length,/*/gmd:spatialRepresentationInfo/gmd:MD_GridSpatialRepresentation/gmd:axisDimensionProperties/gmd:MD_Dimension/gmd:dimensionSize/gco:Integer
Latitude Resolution,/*/gmd:spatialRepresentationInfo/gmd:MD_GridSpatialRepresentation/gmd:axisDimensionProperties/gmd:MD_Dimension/gmd:resolution/gco:Measure
Lineage Scope,/*/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:lineage/gmd:LI_Lineage/gmd:statement/gco:CharacterString
Lineage Statement,/*/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:lineage/gmd:LI_Lineage/gmd:statement/gco:CharacterString
Local Version Identifier,//gmd:identificationInfo/*/gmd:citation/gmd:CI_Citation/gmd:identifier/gmd:MD_Identifier[gmd:description/gco:CharacterString='LocalVersionId']/gmd:code/gco:CharacterString
Logical Consistency,/*/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:report/gmd:DQ_ConceptualConsistency /*/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:report/gmd:DQ_DomainConsistency /*/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:report/gmd:DQ_FormatConsistency /*/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:report/gmd:DQ_TopologicalConsistency
Logical Consistency Report,0
Longitude Dimension Length,/*/gmd:spatialRepresentationInfo/gmd:MD_GridSpatialRepresentation/gmd:axisDimensionProperties/gmd:MD_Dimension/gmd:dimensionSize/gco:Integer
Longitude Resolution,/*/gmd:spatialRepresentationInfo/gmd:MD_GridSpatialRepresentation/gmd:axisDimensionProperties/gmd:MD_Dimension/gmd:resolution/gco:Measure
Maintenance,0
Measure,0
Measure Description,/*/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:report/gmd:DQ_QuantitativeAttributeAccuracy/gmd:measureDescription/gco:CharacterString
Measure Identifier,/*/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:report/*/gmd:measureIdentification/gmd:MD_Identifier/gmd:code/gco:CharacterString
Measure Name,/*/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:report/gmd:DQ_QuantitativeAttributeAccuracy/gmd:nameOfMeasure/gco:CharacterString
Measure Source Citation,0
Measure Time,/*/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:report/gmd:DQ_QuantitativeAttributeAccuracy/gmd:dateTime/gco:DateTime
Media,/*/gmd:distributionInfo/gmd:MD_Distribution/gmd:transferOptions/gmd:MD_DigitalTransferOptions/gmd:offLine/gmd:MD_Medium/gmd:name/gmd:MD_MediumNameCode /*/gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorTransferOptions/gmd:MD_DigitalTransferOptions/gmd:offLine/gmd:MD_Medium/gmd:name/gmd:MD_MediumNameCode
Medium Reference,0
Metadata Access Constraints,/*/gmd:identificationInfo/*/gmd:resourceConstraints/gmd:MD_LegalConstraints/gmd:accessConstraints/gmd:MD_RestrictionCode /*/gmd:metadataConstraints/gmd:MD_LegalConstraints/gmd:otherConstraints/gco:CharacterString
Metadata Association,//gmd:MD_AggregateInformation/gmd:aggregateDataSetName//*
Metadata Contact,/*/gmd:contact
Metadata Dates,/*/gmd:dateStamp/gco:Date /*/gmd:dateStamp/gco:DateTime
Metadata Identifier,/*/gmd:fileIdentifier/gco:CharacterString
Metadata Language,/*/gmd:language/gco:CharacterString /*/gmd:language/gmd:LanguageCode
Metadata Modified Date,/*/gmd:dateStamp/gco:Date /*/gmd:dateStamp/gco:DateTime
Metadata Profile Citation,0
Metadata Standard Citation,/*/gmd:metadataStandardName
Metadata Standard Version,/*/gmd:metadataStandardVersion
Metadata Time Convention,0
Metadata Use Constraints,/*/gmd:metadataConstraints/gmd:MD_Constraints/gmd:useLimitation/gco:CharacterString /*/gmd:metadataConstraints/gmd:MD_LegalConstraints/gmd:useConstraints/gmd:MD_RestrictionCode
Middle Name,//gmd:CI_ResponsibleParty/gmd:individualName/gco:CharacterString
Naming Authority,/*/gmd:identificationInfo/*/gmd:citation/gmd:CI_Citation/gmd:identifier/gmd:MD_Identifier/gmd:authority
Northernmost Latitude,/*/gmd:identificationInfo/*/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_GeographicBoundingBox/gmd:northBoundLatitude/gco:Decimal
Online Resource,//gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource
Online Resource Description,//gmd:CI_OnlineResource/gmd:description/gco:CharacterString
Online Resource Function,//gmd:CI_OnlineResource/gmd:function/gco:CI_OnLineFunctionCode
Online Resource Name/Title,//gmd:CI_OnlineResource/gmd:name/gco:CharacterString
Operation Citation,0
Ordering Instructions,/*/gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributionOrderProcess/gmd:MD_StandardOrderProcess/gmd:orderingInstructions/gco:CharacterString
Organization Name,//gmd:CI_ResponsibleParty/gmd:organisationName/gco:CharacterString
Originating Organization,/*/gmd:identificationInfo/*/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty[normalize-space(gmd:role/gmd:CI_RoleCode)='author']/gmd:organisationName/gco:CharacterString
