Collection,Dialect,Record,Concept
LARC,DIF,MB2LME.xml,Abstract
LARC,DIF,MB2LME.xml,Abstract
LARC,DIF,MB2LME.xml,Address
LARC,DIF,MB2LME.xml,Address
LARC,DIF,MB2LME.xml,Address
LARC,DIF,MB2LME.xml,Address
LARC,DIF,MB2LME.xml,Address
LARC,DIF,MB2LME.xml,Address
LARC,DIF,MB2LME.xml,Author
LARC,DIF,MB2LME.xml,Author
LARC,DIF,MB2LME.xml,Award Link
LARC,DIF,MB2LME.xml,Award Link
LARC,DIF,MB2LME.xml,Award Link
LARC,DIF,MB2LME.xml,Award Link
LARC,DIF,MB2LME.xml,Award Link
LARC,DIF,MB2LME.xml,Award Link
LARC,DIF,MB2LME.xml,Award Link
LARC,DIF,MB2LME.xml,Award Link
LARC,DIF,MB2LME.xml,Award Link
LARC,DIF,MB2LME.xml,Award Link
LARC,DIF,MB2LME.xml,Award Link
LARC,DIF,MB2LME.xml,Bounding Box
LARC,DIF,MB2LME.xml,Bounding Box
LARC,DIF,MB2LME.xml,Bounding Box
LARC,DIF,MB2LME.xml,Bounding Box
LARC,DIF,MB2LME.xml,Cited Resource Title
LARC,DIF,MB2LME.xml,Cited Resource Title
LARC,DIF,MB2LME.xml,City
LARC,DIF,MB2LME.xml,City
LARC,DIF,MB2LME.xml,Country
LARC,DIF,MB2LME.xml,Country
LARC,DIF,MB2LME.xml,Easternmost Longitude
LARC,DIF,MB2LME.xml,Email
LARC,DIF,MB2LME.xml,Email
LARC,DIF,MB2LME.xml,Fax
LARC,DIF,MB2LME.xml,First Name
LARC,DIF,MB2LME.xml,First Name
LARC,DIF,MB2LME.xml,Instrument
LARC,DIF,MB2LME.xml,Instrument
LARC,DIF,MB2LME.xml,Instrument Keyword
LARC,DIF,MB2LME.xml,Instrument Keyword
LARC,DIF,MB2LME.xml,Instrument Keyword
LARC,DIF,MB2LME.xml,Instrument Long Name
LARC,DIF,MB2LME.xml,Instrument Short Name
LARC,DIF,MB2LME.xml,Instrument Short Name
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Keyword
LARC,DIF,MB2LME.xml,Last Name
LARC,DIF,MB2LME.xml,Last Name
LARC,DIF,MB2LME.xml,Metadata Contact
LARC,DIF,MB2LME.xml,Metadata Contact
LARC,DIF,MB2LME.xml,Metadata Dates
LARC,DIF,MB2LME.xml,Metadata Dates
LARC,DIF,MB2LME.xml,Metadata Identifier
LARC,DIF,MB2LME.xml,Metadata Modified Date
LARC,DIF,MB2LME.xml,Metadata Modified Date
LARC,DIF,MB2LME.xml,Metadata Standard Citation
LARC,DIF,MB2LME.xml,Metadata Standard Version
LARC,DIF,MB2LME.xml,Middle Name
LARC,DIF,MB2LME.xml,Northernmost Latitude
LARC,DIF,MB2LME.xml,Online Resource
LARC,DIF,MB2LME.xml,Online Resource Description
LARC,DIF,MB2LME.xml,Online Resource Description
LARC,DIF,MB2LME.xml,Online Resource Description
LARC,DIF,MB2LME.xml,Online Resource Description
LARC,DIF,MB2LME.xml,Online Resource Description
LARC,DIF,MB2LME.xml,Online Resource Description
LARC,DIF,MB2LME.xml,Online Resource Description
LARC,DIF,MB2LME.xml,Online Resource Description
LARC,DIF,MB2LME.xml,Online Resource Description
