Collection,Dialect,Record,Concept
US_MPC,Onedcx,03382-metadata.xml,Abstract
US_MPC,Onedcx,03382-metadata.xml,Author
US_MPC,Onedcx,03382-metadata.xml,Author / Originator
US_MPC,Onedcx,03382-metadata.xml,Bounding Box
US_MPC,Onedcx,03382-metadata.xml,Embargo Date
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Keyword
US_MPC,Onedcx,03382-metadata.xml,Metadata Access Constraints
US_MPC,Onedcx,03382-metadata.xml,Place Keyword
US_MPC,Onedcx,03382-metadata.xml,Place Keyword
US_MPC,Onedcx,03382-metadata.xml,Publication Date
US_MPC,Onedcx,03382-metadata.xml,Related Resource Identifier
US_MPC,Onedcx,03382-metadata.xml,Related Resource Identifier
US_MPC,Onedcx,03382-metadata.xml,Related Resource Identifier
US_MPC,Onedcx,03382-metadata.xml,Resource Access Constraints
US_MPC,Onedcx,03382-metadata.xml,Resource Creation/Revision Date
US_MPC,Onedcx,03382-metadata.xml,Resource Identifier
US_MPC,Onedcx,03382-metadata.xml,Resource Title
US_MPC,Onedcx,03382-metadata.xml,Resource Type
US_MPC,Onedcx,03382-metadata.xml,Spatial Extent
US_MPC,Onedcx,03382-metadata.xml,Spatial Extent
US_MPC,Onedcx,03382-metadata.xml,Table of Contents
US_MPC,Onedcx,03382-metadata.xml,Temporal Extent
US_MPC,Onedcx,03383-metadata.xml,Abstract
US_MPC,Onedcx,03383-metadata.xml,Author
US_MPC,Onedcx,03383-metadata.xml,Author / Originator
US_MPC,Onedcx,03383-metadata.xml,Bounding Box
US_MPC,Onedcx,03383-metadata.xml,Embargo Date
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
US_MPC,Onedcx,03383-metadata.xml,Keyword
